c CS 4.6
c Commercial use requires a licence
c contact igsys@eclipse.net
c
c nodes:              82     arcs:              951
f       3      76          0
f       3      42          0
f       3      50          0
f       3      35          0
f       3      19          0
f       3      40          0
f       3      48          0
f       3      61          0
f       3      72          0
f       3      41          1
f       4      78          0
f       4      45          0
f       4      79          0
f       4      80          0
f       4      44          0
f       4      81          0
f       4      46          0
f       4      47          0
f       4      15          0
f       4      16          0
f       4      51          0
f       4      17          0
f       4      52          0
f       4      18          0
f       4      53          0
f       4      54          0
f       4      55          0
f       4      20          0
f       4      56          0
f       4      21          0
f       4      57          0
f       4      58          0
f       4      22          0
f       4      59          0
f       4      60          0
f       4      23          0
f       4      24          0
f       4      62          0
f       4      25          0
f       4      63          0
f       4      64          0
f       4      27          0
f       4      65          0
f       4      66          0
f       4      28          0
f       4      67          0
f       4      29          0
f       4      30          0
f       4      68          0
f       4      31          0
f       4      69          0
f       4      32          0
f       4      33          0
f       4      70          0
f       4      34          0
f       4      71          0
f       4      36          0
f       4      73          0
f       4      37          0
f       4      74          0
f       4      75          0
f       4      38          0
f       4      39          0
f       4      76          0
f       4      77          0
f       4      41          0
f       4      42          0
f       4      43          0
f       4      49          0
f       4      48          0
f       4      72          0
f       4      40          0
f       4      19          0
f       4      26          0
f       4      50          0
f       4      35          1
f       4      61          0
f       5      45          0
f       5      79          0
f       5      80          0
f       5      46          0
f       5      15          0
f       5      81          0
f       5      16          0
f       5      47          0
f       5      17          0
f       5      18          0
f       5      49          0
f       5      20          0
f       5      21          0
f       5      22          0
f       5      51          0
f       5      23          0
f       5      52          0
f       5      53          0
f       5      24          0
f       5      54          0
f       5      55          0
f       5      56          0
f       5      25          0
f       5      57          0
f       5      26          0
f       5      58          0
f       5      59          0
f       5      60          0
f       5      27          0
f       5      28          0
f       5      62          0
f       5      63          0
f       5      29          0
f       5      64          0
f       5      65          0
f       5      66          0
f       5      67          0
f       5      30          0
f       5      68          0
f       5      69          0
f       5      31          0
f       5      70          0
f       5      32          0
f       5      71          0
f       5      33          0
f       5      73          0
f       5      34          0
f       5      74          0
f       5      36          0
f       5      75          0
f       5      37          0
f       5      38          0
f       5      39          0
f       5      76          0
f       5      77          0
f       5      78          0
f       5      42          0
f       5      43          0
f       5      44          0
f       5      50          0
f       5      48          0
f       5      40          0
f       5      35          0
f       5      72          0
f       5      61          0
f       5      19          0
f       5      41          1
f       6      81          0
f       6      46          0
f       6      47          0
f       6      80          0
f       6      15          0
f       6      16          0
f       6      17          0
f       6      18          0
f       6      20          0
f       6      21          0
f       6      22          0
f       6      51          0
f       6      23          0
f       6      24          0
f       6      25          0
f       6      26          0
f       6      52          0
f       6      27          0
f       6      28          0
f       6      29          0
f       6      30          0
f       6      53          0
f       6      54          0
f       6      31          0
f       6      55          0
f       6      56          0
f       6      32          0
f       6      33          0
f       6      57          0
f       6      58          0
f       6      34          0
f       6      59          0
f       6      60          0
f       6      36          0
f       6      37          0
f       6      62          0
f       6      63          0
f       6      38          0
f       6      64          0
f       6      39          0
f       6      65          0
f       6      66          0
f       6      67          0
f       6      68          0
f       6      69          0
f       6      70          0
f       6      71          0
f       6      41          0
f       6      73          0
f       6      42          0
f       6      74          0
f       6      75          0
f       6      76          0
f       6      43          0
f       6      44          0
f       6      77          0
f       6      78          0
f       6      79          0
f       6      45          0
f       6      48          0
f       6      40          0
f       6      72          0
f       6      19          0
f       6      49          0
f       6      50          0
f       6      61          1
f       6      35          0
f       7      47          0
f       7      81          0
f       7      51          0
f       7      52          0
f       7      53          0
f       7      54          0
f       7      15          0
f       7      55          0
f       7      56          0
f       7      57          0
f       7      16          0
f       7      58          0
f       7      17          0
f       7      59          0
f       7      60          0
f       7      62          0
f       7      63          0
f       7      18          0
f       7      64          0
f       7      65          0
f       7      66          0
f       7      67          0
f       7      20          0
f       7      21          0
f       7      68          0
f       7      22          0
f       7      69          0
f       7      23          0
f       7      24          0
f       7      25          0
f       7      70          0
f       7      71          0
f       7      27          0
f       7      73          0
f       7      28          0
f       7      29          0
f       7      30          0
f       7      31          0
f       7      32          0
f       7      33          0
f       7      34          0
f       7      74          0
f       7      36          0
f       7      75          0
f       7      37          0
f       7      38          0
f       7      76          0
f       7      39          0
f       7      77          0
f       7      42          0
f       7      43          0
f       7      44          0
f       7      79          0
f       7      45          0
f       7      80          0
f       7      46          0
f       7      48          0
f       7      40          0
f       7      78          0
f       7      49          0
f       7      35          0
f       7      50          0
f       7      26          0
f       7      19          0
f       7      41          1
f       7      61          0
f       7      72          0
f       8      15          0
f       8      16          0
f       8      17          0
f       8      18          0
f       8      20          0
f       8      51          0
f       8      21          0
f       8      52          0
f       8      22          0
f       8      53          0
f       8      23          0
f       8      54          0
f       8      24          0
f       8      25          0
f       8      55          0
f       8      27          0
f       8      28          0
f       8      56          0
f       8      29          0
f       8      30          0
f       8      31          0
f       8      32          0
f       8      33          0
f       8      57          0
f       8      34          0
f       8      58          0
f       8      59          0
f       8      36          0
f       8      60          0
f       8      37          0
f       8      38          0
f       8      62          0
f       8      63          0
f       8      39          0
f       8      64          0
f       8      65          0
f       8      66          0
f       8      67          0
f       8      68          0
f       8      69          0
f       8      70          0
f       8      71          0
f       8      42          0
f       8      73          0
f       8      74          0
f       8      43          0
f       8      75          0
f       8      44          0
f       8      76          0
f       8      77          0
f       8      45          0
f       8      46          0
f       8      47          0
f       8      79          0
f       8      80          0
f       8      81          0
f       8      40          0
f       8      50          0
f       8      26          0
f       8      35          0
f       8      78          0
f       8      48          0
f       8      49          0
f       8      19          0
f       8      61          0
f       8      41          0
f       8      72          1
f       9      16          0
f       9      22          0
f       9      64          0
f       9      17          0
f       9      23          0
f       9      36          0
f       9      24          0
f       9      44          0
f       9      37          0
f       9      57          0
f       9      51          0
f       9      38          0
f       9      39          0
f       9      79          0
f       9      45          0
f       9      52          0
f       9      73          0
f       9      74          0
f       9      33          0
f       9      67          0
f       9      53          0
f       9      34          0
f       9      27          0
f       9      75          0
f       9      68          0
f       9      55          0
f       9      69          0
f       9      76          0
f       9      28          0
f       9      77          0
f       9      42          0
f       9      63          0
f       9      19          0
f       9      26          0
f       9      78          0
f       9      59          0
f       9      66          0
f       9      60          0
f       9      80          0
f       9      43          0
f       9      25          0
f       9      29          0
f       9      32          0
f       9      71          0
f       9      81          0
f       9      47          0
f       9      30          0
f       9      54          0
f       9      50          0
f       9      65          0
f       9      41          0
f       9      48          0
f       9      20          0
f       9      15          0
f       9      62          0
f       9      31          0
f       9      46          0
f       9      58          0
f       9      49          0
f       9      18          0
f       9      56          0
f       9      40          0
f       9      70          0
f       9      21          0
f       9      35          0
f       9      72          0
f       9      61          1
f      10      74          0
f      10      18          0
f      10      60          0
f      10      67          0
f      10      32          0
f      10      25          0
f      10      81          0
f      10      46          0
f      10      53          0
f      10      39          0
f      10      68          0
f      10      54          0
f      10      47          0
f      10      27          0
f      10      20          0
f      10      33          0
f      10      75          0
f      10      34          0
f      10      76          0
f      10      55          0
f      10      21          0
f      10      69          0
f      10      28          0
f      10      62          0
f      10      29          0
f      10      22          0
f      10      15          0
f      10      36          0
f      10      42          0
f      10      63          0
f      10      56          0
f      10      77          0
f      10      30          0
f      10      70          0
f      10      57          0
f      10      23          0
f      10      37          0
f      10      64          0
f      10      71          0
f      10      43          0
f      10      16          0
f      10      44          0
f      10      79          0
f      10      65          0
f      10      58          0
f      10      51          0
f      10      38          0
f      10      24          0
f      10      17          0
f      10      59          0
f      10      31          0
f      10      66          0
f      10      45          0
f      10      73          0
f      10      80          0
f      10      52          0
f      10      19          0
f      10      49          0
f      10      50          0
f      10      78          0
f      10      35          0
f      10      40          0
f      10      26          0
f      10      48          0
f      10      41          0
f      10      61          0
f      10      72          1
f      11      77          0
f      11      42          0
f      11      63          0
f      11      28          0
f      11      64          0
f      11      36          0
f      11      71          0
f      11      57          0
f      11      43          0
f      11      22          0
f      11      16          0
f      11      29          0
f      11      79          0
f      11      23          0
f      11      30          0
f      11      44          0
f      11      37          0
f      11      51          0
f      11      58          0
f      11      65          0
f      11      17          0
f      11      18          0
f      11      66          0
f      11      52          0
f      11      24          0
f      11      59          0
f      11      73          0
f      11      25          0
f      11      31          0
f      11      38          0
f      11      80          0
f      11      45          0
f      11      39          0
f      11      46          0
f      11      33          0
f      11      53          0
f      11      60          0
f      11      47          0
f      11      74          0
f      11      54          0
f      11      67          0
f      11      68          0
f      11      27          0
f      11      75          0
f      11      34          0
f      11      76          0
f      11      62          0
f      11      55          0
f      11      69          0
f      11      40          0
f      11      49          0
f      11      21          0
f      11      50          0
f      11      70          0
f      11      19          0
f      11      20          0
f      11      56          0
f      11      32          0
f      11      81          0
f      11      78          0
f      11      41          0
f      11      26          0
f      11      15          0
f      11      48          0
f      11      35          0
f      11      61          1
f      11      72          0
f      12      41          0
f      12      61          0
f      12      72          0
f      12      35          0
f      12      25          0
f      12      52          0
f      12      31          0
f      12      59          0
f      12      26          0
f      12      66          0
f      12      39          0
f      12      73          0
f      12      46          0
f      12      80          0
f      12      32          0
f      12      17          0
f      12      33          0
f      12      40          1
f      12      47          0
f      12      38          0
f      12      53          0
f      12      48          0
f      12      60          0
f      12      54          0
f      12      49          0
f      12      24          0
f      12      55          0
f      12      67          0
f      12      74          0
f      12      19          0
f      12      68          0
f      12      62          0
f      12      75          0
f      12      56          0
f      12      81          0
f      12      69          0
f      12      76          0
f      12      34          0
f      12      70          0
f      12      57          0
f      12      77          0
f      12      42          0
f      12      63          0
f      12      27          0
f      12      50          0
f      12      20          0
f      12      64          0
f      12      45          0
f      12      43          0
f      12      71          0
f      12      51          0
f      12      78          0
f      12      65          0
f      12      28          0
f      12      21          0
f      12      18          0
f      12      22          0
f      12      36          0
f      12      29          0
f      12      58          0
f      12      44          0
f      12      79          0
f      12      15          0
f      12      23          0
f      12      37          0
f      12      16          0
f      12      30          0
f      13      69          0
f      13      27          0
f      13      76          0
f      13      34          0
f      13      41          0
f      13      55          0
f      13      28          0
f      13      63          0
f      13      77          0
f      13      29          0
f      13      22          0
f      13      36          0
f      13      16          0
f      13      42          0
f      13      23          0
f      13      30          0
f      13      37          0
f      13      24          0
f      13      31          0
f      13      38          0
f      13      17          0
f      13      43          0
f      13      44          0
f      13      64          0
f      13      57          0
f      13      71          0
f      13      51          0
f      13      58          0
f      13      45          0
f      13      65          0
f      13      79          0
f      13      52          0
f      13      59          0
f      13      66          0
f      13      73          0
f      13      80          0
f      13      46          0
f      13      25          0
f      13      39          0
f      13      18          0
f      13      74          0
f      13      33          0
f      13      47          0
f      13      53          0
f      13      60          0
f      13      67          0
f      13      54          0
f      13      68          0
f      13      75          0
f      13      78          0
f      13      20          0
f      13      32          0
f      13      70          0
f      13      72          0
f      13      81          0
f      13      62          0
f      13      56          0
f      13      49          0
f      13      19          0
f      13      26          0
f      13      61          0
f      13      21          0
f      13      15          0
f      13      50          0
f      13      48          0
f      13      35          1
f      13      40          0
f      14      51          0
f      14      58          0
f      14      65          0
f      14      16          0
f      14      37          0
f      14      23          0
f      14      44          0
f      14      30          0
f      14      59          0
f      14      31          0
f      14      79          0
f      14      17          0
f      14      38          0
f      14      52          0
f      14      45          0
f      14      66          0
f      14      73          0
f      14      24          0
f      14      18          0
f      14      25          0
f      14      80          0
f      14      39          0
f      14      53          0
f      14      27          0
f      14      46          0
f      14      60          0
f      14      33          0
f      14      67          0
f      14      34          0
f      14      47          0
f      14      21          0
f      14      74          0
f      14      54          0
f      14      55          0
f      14      28          0
f      14      68          0
f      14      62          0
f      14      69          0
f      14      75          0
f      14      63          0
f      14      76          0
f      14      70          0
f      14      42          0
f      14      77          0
f      14      22          0
f      14      29          0
f      14      36          0
f      14      57          0
f      14      43          0
f      14      64          0
f      14      71          0
f      14      81          0
f      14      35          0
f      14      32          0
f      14      19          0
f      14      20          0
f      14      15          0
f      14      48          0
f      14      49          0
f      14      40          0
f      14      50          0
f      14      26          0
f      14      56          0
f      14      78          0
f      14      41          0
f      14      61          0
f      14      72          1
f      15       1          0
f      16       1          0
f      17       1          0
f      18       1          0
f      19       1          0
f      20       1          0
f      21       1          0
f      22       1          0
f      23       1          0
f      24       1          0
f      25       1          0
f      26       1          0
f      27       1          0
f      28       1          0
f      29       1          0
f      30       1          0
f      31       1          0
f      32       1          0
f      33       1          0
f      34       1          0
f      35       1          3
f      36       1          0
f      37       1          0
f      38       1          0
f      39       1          0
f      40       1          1
f      41       1          3
f      42       1          0
f      43       1          0
f      44       1          0
f      45       1          0
f      46       1          0
f      47       1          0
f      48       1          0
f      49       1          0
f      50       1          0
f      51       1          0
f      52       1          0
f      53       1          0
f      54       1          0
f      55       1          0
f      56       1          0
f      57       1          0
f      58       1          0
f      59       1          0
f      60       1          0
f      61       1          3
f      62       1          0
f      63       1          0
f      64       1          0
f      65       1          0
f      66       1          0
f      67       1          0
f      68       1          0
f      69       1          0
f      70       1          0
f      71       1          0
f      72       1          3
f      73       1          0
f      74       1          0
f      75       1          0
f      76       1          0
f      77       1          0
f      78       1          0
f      79       1          0
f      80       1          0
f      81       1          0
c
