c CS 4.6
c Commercial use requires a licence
c contact igsys@eclipse.net
c
c nodes:              81     arcs:             1333
f       4      74          0
f       4      47          0
f       4      49          0
f       4      76          0
f       4      51          0
f       4      52          0
f       4      79          0
f       4      25          0
f       4      26          0
f       4      27          0
f       4      28          0
f       4      56          0
f       4      32          0
f       4      58          0
f       4      59          0
f       4      35          0
f       4      37          0
f       4      64          0
f       4      38          0
f       4      66          0
f       4      39          0
f       4      67          0
f       4      40          0
f       4      68          0
f       4      69          0
f       4      41          0
f       4      70          0
f       4      42          0
f       4      71          0
f       4      72          0
f       4      43          0
f       4      45          0
f       4      48          0
f       4      34          0
f       4      80          0
f       4      61          0
f       4      53          0
f       4      65          0
f       4      46          0
f       4      75          0
f       4      55          0
f       4      77          0
f       4      31          0
f       4      36          0
f       4      62          0
f       4      50          0
f       4      63          0
f       4      54          0
f       4      24          0
f       4      30          0
f       4      44          0
f       4      57          0
f       4      78          0
f       4      29          0
f       4      60          0
f       4      33          1
f       5      74          0
f       5      47          0
f       5      48          0
f       5      49          0
f       5      76          0
f       5      51          0
f       5      52          0
f       5      55          0
f       5      79          0
f       5      56          0
f       5      25          0
f       5      26          0
f       5      80          0
f       5      27          0
f       5      58          0
f       5      28          0
f       5      59          0
f       5      64          0
f       5      32          0
f       5      34          0
f       5      66          0
f       5      35          0
f       5      67          0
f       5      68          0
f       5      37          0
f       5      38          0
f       5      69          0
f       5      39          0
f       5      70          0
f       5      40          0
f       5      41          0
f       5      71          0
f       5      42          0
f       5      72          0
f       5      43          0
f       5      73          0
f       5      65          0
f       5      50          0
f       5      53          0
f       5      54          0
f       5      24          0
f       5      61          0
f       5      63          0
f       5      31          0
f       5      75          0
f       5      77          0
f       5      33          0
f       5      60          0
f       5      29          0
f       5      45          0
f       5      30          0
f       5      62          0
f       5      57          0
f       5      46          0
f       5      78          1
f       5      36          0
f       5      44          0
f       6      46          0
f       6      77          0
f       6      78          0
f       6      45          0
f       6      50          0
f       6      54          0
f       6      57          0
f       6      24          0
f       6      60          0
f       6      29          0
f       6      30          0
f       6      62          0
f       6      33          0
f       6      36          0
f       6      63          0
f       6      44          0
f       6      56          0
f       6      76          0
f       6      58          0
f       6      51          0
f       6      25          0
f       6      59          0
f       6      26          0
f       6      27          0
f       6      47          0
f       6      28          0
f       6      52          0
f       6      48          0
f       6      31          0
f       6      32          0
f       6      53          0
f       6      79          0
f       6      34          0
f       6      35          0
f       6      49          0
f       6      80          0
f       6      37          0
f       6      38          0
f       6      64          0
f       6      39          0
f       6      40          0
f       6      65          0
f       6      41          0
f       6      66          0
f       6      67          0
f       6      42          0
f       6      68          0
f       6      43          0
f       6      69          0
f       6      70          0
f       6      71          0
f       6      72          0
f       6      73          0
f       6      75          0
f       6      74          0
f       6      61          0
f       6      55          1
f       7      76          0
f       7      47          0
f       7      79          0
f       7      49          0
f       7      25          0
f       7      51          0
f       7      26          0
f       7      27          0
f       7      28          0
f       7      52          0
f       7      32          0
f       7      35          0
f       7      56          0
f       7      37          0
f       7      58          0
f       7      38          0
f       7      59          0
f       7      39          0
f       7      40          0
f       7      41          0
f       7      64          0
f       7      42          0
f       7      66          0
f       7      67          0
f       7      68          0
f       7      43          0
f       7      69          0
f       7      70          0
f       7      71          0
f       7      72          0
f       7      73          0
f       7      74          0
f       7      31          0
f       7      61          0
f       7      53          0
f       7      65          0
f       7      34          0
f       7      80          0
f       7      55          0
f       7      48          0
f       7      77          0
f       7      45          0
f       7      46          0
f       7      75          0
f       7      24          0
f       7      62          0
f       7      63          0
f       7      36          0
f       7      44          0
f       7      57          0
f       7      78          0
f       7      50          0
f       7      54          0
f       7      30          0
f       7      29          1
f       7      60          0
f       7      33          0
f       8      77          0
f       8      48          0
f       8      78          0
f       8      79          0
f       8      49          0
f       8      25          0
f       8      26          0
f       8      27          0
f       8      51          0
f       8      52          0
f       8      28          0
f       8      29          0
f       8      30          0
f       8      54          0
f       8      56          0
f       8      32          0
f       8      57          0
f       8      58          0
f       8      33          0
f       8      59          0
f       8      60          0
f       8      34          0
f       8      35          0
f       8      36          0
f       8      62          0
f       8      64          0
f       8      37          0
f       8      66          0
f       8      38          0
f       8      67          0
f       8      39          0
f       8      68          0
f       8      69          0
f       8      40          0
f       8      70          0
f       8      71          0
f       8      41          0
f       8      72          0
f       8      42          0
f       8      73          0
f       8      43          0
f       8      44          0
f       8      74          0
f       8      45          0
f       8      46          0
f       8      76          0
f       8      47          0
f       8      50          0
f       8      63          0
f       8      55          0
f       8      24          0
f       8      80          0
f       8      75          1
f       8      65          0
f       8      53          0
f       8      31          0
f       8      61          0
f       9      79          0
f       9      80          0
f       9      49          0
f       9      25          0
f       9      26          0
f       9      51          0
f       9      27          0
f       9      28          0
f       9      52          0
f       9      32          0
f       9      34          0
f       9      35          0
f       9      56          0
f       9      58          0
f       9      37          0
f       9      59          0
f       9      38          0
f       9      39          0
f       9      40          0
f       9      64          0
f       9      41          0
f       9      66          0
f       9      42          0
f       9      43          0
f       9      67          0
f       9      68          0
f       9      69          0
f       9      70          0
f       9      71          0
f       9      72          0
f       9      73          0
f       9      74          0
f       9      76          0
f       9      47          0
f       9      48          0
f       9      55          0
f       9      24          0
f       9      65          0
f       9      50          0
f       9      31          0
f       9      53          0
f       9      61          0
f       9      75          0
f       9      54          0
f       9      63          0
f       9      44          0
f       9      45          0
f       9      46          0
f       9      29          0
f       9      77          0
f       9      33          0
f       9      36          0
f       9      30          0
f       9      60          0
f       9      57          0
f       9      78          0
f       9      62          1
f      10      77          0
f      10      51          0
f      10      52          0
f      10      25          0
f      10      26          0
f      10      27          0
f      10      54          0
f      10      28          0
f      10      56          0
f      10      57          0
f      10      58          0
f      10      29          0
f      10      59          0
f      10      60          0
f      10      62          0
f      10      30          0
f      10      64          0
f      10      66          0
f      10      67          0
f      10      68          0
f      10      69          0
f      10      70          0
f      10      32          0
f      10      71          0
f      10      72          0
f      10      33          0
f      10      34          0
f      10      35          0
f      10      36          0
f      10      37          0
f      10      38          0
f      10      39          0
f      10      73          0
f      10      40          0
f      10      74          0
f      10      41          0
f      10      42          0
f      10      43          0
f      10      44          0
f      10      45          0
f      10      76          0
f      10      46          0
f      10      79          0
f      10      47          0
f      10      78          0
f      10      48          0
f      10      49          0
f      10      63          0
f      10      24          0
f      10      50          0
f      10      65          0
f      10      55          0
f      10      80          0
f      10      31          0
f      10      75          0
f      10      53          1
f      10      61          0
f      11      51          0
f      11      52          0
f      11      25          0
f      11      28          0
f      11      35          0
f      11      39          0
f      11      40          0
f      11      69          0
f      11      71          0
f      11      73          0
f      11      74          0
f      11      76          0
f      11      42          0
f      11      29          0
f      11      30          0
f      11      58          0
f      11      59          0
f      11      32          0
f      11      33          0
f      11      60          0
f      11      34          0
f      11      62          0
f      11      26          0
f      11      36          0
f      11      64          0
f      11      66          0
f      11      67          0
f      11      37          0
f      11      38          0
f      11      68          0
f      11      80          0
f      11      27          0
f      11      70          0
f      11      72          0
f      11      41          0
f      11      55          0
f      11      56          0
f      11      57          0
f      11      77          0
f      11      78          0
f      11      43          0
f      11      44          0
f      11      45          0
f      11      46          0
f      11      47          0
f      11      48          0
f      11      49          0
f      11      79          0
f      11      53          0
f      11      24          0
f      11      61          0
f      11      75          0
f      11      31          0
f      11      54          0
f      11      63          0
f      11      50          0
f      11      65          1
f      12      45          0
f      12      46          0
f      12      77          0
f      12      24          0
f      12      57          0
f      12      60          0
f      12      62          0
f      12      29          0
f      12      30          0
f      12      63          0
f      12      33          0
f      12      36          0
f      12      44          0
f      12      54          0
f      12      50          0
f      12      78          0
f      12      58          0
f      12      25          0
f      12      59          0
f      12      31          0
f      12      32          0
f      12      64          0
f      12      65          0
f      12      26          0
f      12      34          0
f      12      66          0
f      12      35          0
f      12      56          0
f      12      67          0
f      12      68          0
f      12      37          0
f      12      38          0
f      12      39          0
f      12      40          0
f      12      69          0
f      12      70          0
f      12      41          0
f      12      71          0
f      12      42          0
f      12      43          0
f      12      27          0
f      12      53          0
f      12      72          0
f      12      47          0
f      12      48          0
f      12      73          0
f      12      49          0
f      12      74          0
f      12      75          0
f      12      76          0
f      12      28          0
f      12      52          0
f      12      51          0
f      12      79          0
f      12      80          0
f      12      61          1
f      12      55          0
f      13      25          0
f      13      53          0
f      13      64          0
f      13      26          0
f      13      27          0
f      13      76          0
f      13      28          0
f      13      55          0
f      13      66          0
f      13      56          0
f      13      67          0
f      13      58          0
f      13      68          0
f      13      69          0
f      13      70          0
f      13      79          0
f      13      59          0
f      13      80          0
f      13      71          0
f      13      32          0
f      13      72          0
f      13      61          0
f      13      73          0
f      13      34          0
f      13      35          0
f      13      74          0
f      13      37          0
f      13      38          0
f      13      39          0
f      13      40          0
f      13      41          0
f      13      42          0
f      13      43          0
f      13      47          0
f      13      48          0
f      13      49          0
f      13      51          0
f      13      52          0
f      13      63          0
f      13      30          0
f      13      31          0
f      13      60          0
f      13      65          0
f      13      29          0
f      13      75          0
f      13      33          0
f      13      50          0
f      13      24          0
f      13      54          0
f      13      62          0
f      13      36          0
f      13      57          0
f      13      45          0
f      13      46          0
f      13      77          1
f      13      78          0
f      13      44          0
f      14      76          0
f      14      42          0
f      14      43          0
f      14      68          0
f      14      56          0
f      14      35          0
f      14      25          0
f      14      47          0
f      14      69          0
f      14      26          0
f      14      27          0
f      14      37          0
f      14      28          0
f      14      38          0
f      14      70          0
f      14      39          0
f      14      49          0
f      14      71          0
f      14      40          0
f      14      73          0
f      14      51          0
f      14      74          0
f      14      52          0
f      14      41          0
f      14      77          0
f      14      36          0
f      14      46          0
f      14      32          0
f      14      57          0
f      14      66          0
f      14      78          0
f      14      33          0
f      14      44          0
f      14      58          0
f      14      67          0
f      14      48          0
f      14      55          0
f      14      79          0
f      14      30          0
f      14      59          0
f      14      60          0
f      14      29          0
f      14      72          0
f      14      61          0
f      14      34          0
f      14      45          0
f      14      62          0
f      14      80          0
f      14      31          0
f      14      53          0
f      14      64          0
f      14      63          0
f      14      54          0
f      14      75          0
f      14      50          0
f      14      24          1
f      14      65          0
f      15      77          0
f      15      54          0
f      15      42          0
f      15      43          0
f      15      66          0
f      15      67          0
f      15      44          0
f      15      78          0
f      15      32          0
f      15      33          0
f      15      79          0
f      15      56          0
f      15      45          0
f      15      68          0
f      15      34          0
f      15      57          0
f      15      46          0
f      15      47          0
f      15      35          0
f      15      58          0
f      15      69          0
f      15      70          0
f      15      36          0
f      15      48          0
f      15      59          0
f      15      60          0
f      15      71          0
f      15      72          0
f      15      25          0
f      15      49          0
f      15      37          0
f      15      26          0
f      15      38          0
f      15      62          0
f      15      73          0
f      15      74          0
f      15      39          0
f      15      27          0
f      15      51          0
f      15      64          0
f      15      76          0
f      15      28          0
f      15      40          0
f      15      29          0
f      15      41          0
f      15      52          0
f      15      30          0
f      15      24          0
f      15      63          0
f      15      55          0
f      15      80          0
f      15      65          0
f      15      50          0
f      15      31          1
f      15      61          0
f      15      75          0
f      15      53          0
f      16      32          0
f      16      43          0
f      16      66          0
f      16      25          0
f      16      35          0
f      16      56          0
f      16      26          0
f      16      47          0
f      16      37          0
f      16      79          0
f      16      38          0
f      16      67          0
f      16      58          0
f      16      59          0
f      16      27          0
f      16      68          0
f      16      49          0
f      16      69          0
f      16      70          0
f      16      71          0
f      16      39          0
f      16      28          0
f      16      40          0
f      16      72          0
f      16      51          0
f      16      41          0
f      16      52          0
f      16      73          0
f      16      74          0
f      16      64          0
f      16      42          0
f      16      76          0
f      16      36          0
f      16      80          0
f      16      34          0
f      16      44          0
f      16      61          0
f      16      55          0
f      16      45          0
f      16      48          0
f      16      77          0
f      16      78          0
f      16      46          0
f      16      75          0
f      16      31          0
f      16      53          0
f      16      24          0
f      16      30          0
f      16      63          0
f      16      60          0
f      16      57          0
f      16      62          0
f      16      33          0
f      16      29          0
f      16      65          0
f      16      50          0
f      16      54          1
f      17      43          0
f      17      66          0
f      17      56          0
f      17      67          0
f      17      68          0
f      17      79          0
f      17      69          0
f      17      70          0
f      17      71          0
f      17      59          0
f      17      72          0
f      17      47          0
f      17      35          0
f      17      25          0
f      17      37          0
f      17      38          0
f      17      26          0
f      17      73          0
f      17      49          0
f      17      27          0
f      17      74          0
f      17      51          0
f      17      39          0
f      17      28          0
f      17      40          0
f      17      52          0
f      17      64          0
f      17      41          0
f      17      76          0
f      17      42          0
f      17      55          0
f      17      46          0
f      17      61          0
f      17      32          0
f      17      58          0
f      17      34          0
f      17      62          0
f      17      78          0
f      17      45          0
f      17      36          0
f      17      53          0
f      17      48          0
f      17      80          0
f      17      44          0
f      17      77          0
f      17      31          0
f      17      29          0
f      17      33          0
f      17      57          0
f      17      65          0
f      17      30          0
f      17      75          0
f      17      60          0
f      17      24          0
f      17      63          1
f      17      54          0
f      17      50          0
f      18      55          0
f      18      32          0
f      18      67          0
f      18      79          0
f      18      56          0
f      18      34          0
f      18      35          0
f      18      68          0
f      18      58          0
f      18      25          0
f      18      69          0
f      18      47          0
f      18      37          0
f      18      80          0
f      18      59          0
f      18      70          0
f      18      71          0
f      18      48          0
f      18      38          0
f      18      49          0
f      18      61          0
f      18      72          0
f      18      26          0
f      18      27          0
f      18      39          0
f      18      73          0
f      18      51          0
f      18      74          0
f      18      28          0
f      18      40          0
f      18      52          0
f      18      64          0
f      18      76          0
f      18      41          0
f      18      42          0
f      18      66          0
f      18      43          0
f      18      33          0
f      18      63          0
f      18      75          0
f      18      29          0
f      18      53          0
f      18      50          0
f      18      65          0
f      18      54          0
f      18      31          0
f      18      24          0
f      18      60          0
f      18      36          0
f      18      30          0
f      18      57          0
f      18      62          0
f      18      44          0
f      18      77          0
f      18      78          0
f      18      46          0
f      18      45          1
f      19      67          0
f      19      79          0
f      19      68          0
f      19      56          0
f      19      69          0
f      19      70          0
f      19      58          0
f      19      71          0
f      19      47          0
f      19      35          0
f      19      25          0
f      19      59          0
f      19      48          0
f      19      37          0
f      19      49          0
f      19      72          0
f      19      26          0
f      19      73          0
f      19      38          0
f      19      27          0
f      19      51          0
f      19      39          0
f      19      74          0
f      19      28          0
f      19      64          0
f      19      76          0
f      19      40          0
f      19      52          0
f      19      41          0
f      19      42          0
f      19      43          0
f      19      66          0
f      19      32          0
f      19      34          0
f      19      63          0
f      19      75          0
f      19      24          0
f      19      80          0
f      19      61          0
f      19      31          0
f      19      45          0
f      19      53          0
f      19      65          0
f      19      77          0
f      19      50          0
f      19      46          0
f      19      55          0
f      19      44          0
f      19      54          0
f      19      62          0
f      19      78          0
f      19      36          0
f      19      30          0
f      19      33          0
f      19      57          0
f      19      60          1
f      19      29          0
f      20      56          0
f      20      34          0
f      20      79          0
f      20      35          0
f      20      47          0
f      20      25          0
f      20      68          0
f      20      37          0
f      20      58          0
f      20      48          0
f      20      26          0
f      20      49          0
f      20      59          0
f      20      38          0
f      20      69          0
f      20      70          0
f      20      80          0
f      20      27          0
f      20      39          0
f      20      28          0
f      20      71          0
f      20      51          0
f      20      40          0
f      20      72          0
f      20      52          0
f      20      73          0
f      20      41          0
f      20      64          0
f      20      42          0
f      20      74          0
f      20      43          0
f      20      55          0
f      20      76          0
f      20      66          0
f      20      67          0
f      20      32          0
f      20      63          0
f      20      24          0
f      20      50          0
f      20      53          0
f      20      61          0
f      20      54          0
f      20      75          0
f      20      65          0
f      20      31          0
f      20      29          0
f      20      30          0
f      20      33          0
f      20      57          0
f      20      46          0
f      20      45          0
f      20      77          0
f      20      60          0
f      20      62          0
f      20      78          0
f      20      36          0
f      20      44          1
f      21      68          0
f      21      69          0
f      21      70          0
f      21      71          0
f      21      25          0
f      21      35          0
f      21      26          0
f      21      47          0
f      21      37          0
f      21      28          0
f      21      39          0
f      21      73          0
f      21      40          0
f      21      51          0
f      21      42          0
f      21      52          0
f      21      74          0
f      21      43          0
f      21      76          0
f      21      56          0
f      21      38          0
f      21      45          0
f      21      60          0
f      21      72          0
f      21      57          0
f      21      29          0
f      21      34          0
f      21      30          0
f      21      49          0
f      21      41          0
f      21      61          0
f      21      36          0
f      21      80          0
f      21      46          0
f      21      27          0
f      21      62          0
f      21      32          0
f      21      58          0
f      21      64          0
f      21      66          0
f      21      48          0
f      21      44          0
f      21      33          0
f      21      77          0
f      21      55          0
f      21      78          0
f      21      59          0
f      21      67          0
f      21      79          0
f      21      53          0
f      21      63          0
f      21      31          0
f      21      75          0
f      21      54          0
f      21      50          1
f      21      65          0
f      21      24          0
f      22      69          0
f      22      80          0
f      22      34          0
f      22      35          0
f      22      58          0
f      22      47          0
f      22      70          0
f      22      71          0
f      22      59          0
f      22      48          0
f      22      37          0
f      22      72          0
f      22      25          0
f      22      73          0
f      22      49          0
f      22      38          0
f      22      61          0
f      22      26          0
f      22      74          0
f      22      27          0
f      22      39          0
f      22      51          0
f      22      28          0
f      22      40          0
f      22      52          0
f      22      76          0
f      22      64          0
f      22      41          0
f      22      53          0
f      22      42          0
f      22      43          0
f      22      66          0
f      22      32          0
f      22      55          0
f      22      79          0
f      22      56          0
f      22      67          0
f      22      68          0
f      22      65          0
f      22      31          0
f      22      54          0
f      22      75          0
f      22      24          0
f      22      63          0
f      22      33          0
f      22      29          0
f      22      50          0
f      22      60          0
f      22      36          0
f      22      30          0
f      22      62          0
f      22      57          0
f      22      78          0
f      22      77          0
f      22      44          0
f      22      45          0
f      22      46          1
f      23      69          0
f      23      58          0
f      23      35          0
f      23      47          0
f      23      70          0
f      23      71          0
f      23      48          0
f      23      59          0
f      23      72          0
f      23      25          0
f      23      26          0
f      23      37          0
f      23      27          0
f      23      38          0
f      23      39          0
f      23      49          0
f      23      73          0
f      23      28          0
f      23      40          0
f      23      51          0
f      23      74          0
f      23      41          0
f      23      52          0
f      23      64          0
f      23      42          0
f      23      76          0
f      23      43          0
f      23      32          0
f      23      56          0
f      23      66          0
f      23      67          0
f      23      68          0
f      23      79          0
f      23      34          0
f      23      61          0
f      23      31          0
f      23      53          0
f      23      54          0
f      23      55          0
f      23      65          0
f      23      50          0
f      23      63          0
f      23      77          0
f      23      75          0
f      23      80          0
f      23      24          0
f      23      44          0
f      23      33          0
f      23      78          0
f      23      46          0
f      23      45          0
f      23      29          0
f      23      36          0
f      23      30          0
f      23      62          0
f      23      57          1
f      23      60          0
f      24       1          1
f      25       1          0
f      26       1          0
f      27       1          0
f      28       1          0
f      29       1          1
f      30       1          1
f      31       1          1
f      32       1          0
f      33       1          1
f      34       1          0
f      35       1          0
f      36       1          1
f      37       1          0
f      38       1          0
f      39       1          0
f      40       1          0
f      41       1          0
f      42       1          0
f      43       1          0
f      44       1          1
f      45       1          1
f      46       1          1
f      47       1          0
f      48       1          0
f      49       1          0
f      50       1          1
f      51       1          0
f      52       1          0
f      53       1          1
f      54       1          1
f      55       1          1
f      56       1          0
f      57       1          1
f      58       1          0
f      59       1          0
f      60       1          1
f      61       1          1
f      62       1          1
f      63       1          1
f      64       1          0
f      65       1          1
f      66       1          0
f      67       1          0
f      68       1          0
f      69       1          0
f      70       1          0
f      71       1          0
f      72       1          0
f      73       1          0
f      74       1          0
f      75       1          1
f      76       1          0
f      77       1          1
f      78       1          1
f      79       1          0
f      80       1          0
c
